jahr,geber,politikbereich,betrag,plz,name
2012,16,02,5669,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2012,16,02,6706,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2013,16,02,31684,143,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2013,16,02,14182,143,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2013,16,02,15238,143,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2013,16,02,30623,143,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2013,16,02,15242,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2013,16,02,9124,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2013,16,02,38848,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2013,16,02,17865,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2013,16,02,17865,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2013,16,02,15438,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2013,16,02,27354,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2013,16,02,22332,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2013,16,02,9124,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2013,16,02,61351,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2013,16,02,8772,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2013,16,02,32804,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2014,16,02,28462,143,A & QUA GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2014,16,02,4632,143,A & QUA GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
